company,color,r,g,b
chanel,/chanel/makeup/lepper/leppestift/chanel-high-intensity-lip-colour-concentrated-radiance-and-care-838,193,37,74
chanel,/chanel/makeup/lepper/leppestift/chanel-a-hydrating-tinted-lip-balm-that-offers-buildable-colour-for-better-looking-lips-day-after-day-940,0,0,0
clarins,/clarins/makeup/lepper/leppestift/clarins-lip-oil-balm-03-lychee,171,92,87
clarins,/clarins/makeup/lepper/leppestift/clarins-lip-oil-balm-01-pale-pink,244,195,204
clarins,/clarins/makeup/lepper/leppestift/clarins-lip-oil-balm-02-pitaya,224,69,123
clarins,/clarins/makeup/lepper/leppestift/clarins-lip-oil-balm-04-almond,174,138,121
clarins,/clarins/makeup/lepper/leppestift/clarins-joli-rouge-satin-lipstick-732-grenadine,163,81,86
clarins,/clarins/makeup/lepper/leppestift/clarins-joli-rouge-shiny-lipstick-705s-soft-berry,182,96,93
clarins,/clarins/makeup/lepper/leppestift/clarins-joli-rouge-shiny-lipstick-711s-papaya,219,96,76
clarins,/clarins/makeup/lepper/leppestift/clarins-joli-rouge-shiny-lipstick-732s-grenadine,156,71,76
clarins,/clarins/makeup/lepper/leppestift/clarins-joli-rouge-shiny-lipstick-742s-joli-rouge,186,32,51
clarins,/clarins/makeup/lepper/leppestift/clarins-joli-rouge-velvet-lips-742v-jolie-roug,186,20,44
clarins,/clarins/makeup/lepper/leppestift/clarins-joli-rouge-satin-lipstick-744-soft-plum,136,57,71
clarins,/clarins/makeup/lepper/leppestift/clarins-joli-rouge-satin-lipstick-705-soft-berry,174,79,95
clarins,/clarins/makeup/lepper/leppestift/clarins-joli-rouge-satin-lipstick-711-papaya,226,99,83
clarins,/clarins/makeup/lepper/leppestift/clarins-water-lip-stain-01-rose-water,231,40,112
clarins,/clarins/makeup/lepper/leppestift/clarins-water-lip-stain-03-red-water,206,6,14
clarins,/clarins/makeup/lepper/leppestift/clarins-joli-rouge-velvet-lips-705v-soft-berry,168,85,83
clarins,/clarins/makeup/lepper/leppestift/clarins-joli-rouge-velvet-lips-711v-papaya,185,83,67
clarins,/clarins/makeup/lepper/leppestift/clarins-joli-rouge-velvet-lips-732v-grenadine,156,73,76
clinique,/clinique/makeup/lepper/leppestift/clinique-almost-lipstick-black-honey,78,29,22
clinique,/clinique/makeup/lepper/leppestift/clinique-almost-lipstick-pink-honey,209,89,105
clinique,/clinique/makeup/lepper/leppestift/clinique-dramatically-different-lipstick-20-red-alert,196,18,47
clinique,/clinique/makeup/lepper/leppestift/clinique-chubby-stick-moisturizing-lip-colour-balm-super-strawberry,177,81,93
clinique,/clinique/makeup/lepper/leppestift/clinique-chubby-stick-moisturizing-lip-colour-balm-woppin-watermelon,219,130,145
clinique,/clinique/makeup/lepper/leppestift/clinique-chubby-stick-moisturizing-lip-colour-balm-fuller-fig,160,88,89
clinique,/clinique/makeup/lepper/leppestift/clinique-chubby-stick-moisturizing-lip-colour-balm-mighty-mimosa,227,114,124
clinique,/clinique/makeup/lepper/leppestift/clinique-pop-longwear-lipstick-shine-23-blush-pop,179,104,104
clinique,/clinique/makeup/lepper/leppestift/clinique-even-better-pop-lip-colour-foundation-lipstick-nestled,247,247,247
clinique,/clinique/makeup/lepper/leppestift/clinique-pop-longwear-lipstick-shine-5-melon-pop,226,108,103
clinique,/clinique/makeup/lepper/leppestift/clinique-pop-longwear-lipstick-shine-13-love-pop,160,56,87
clinique,/clinique/makeup/lepper/leppestift/clinique-pop-longwear-lipstick-shine-1-nude-pop,212,134,117
clinique,/clinique/makeup/lepper/leppestift/clinique-pop-longwear-lipstick-satin-33-mocha-pop,172,90,84
clinique,/clinique/makeup/lepper/leppestift/clinique-pop-longwear-lipstick-matte-1-blushing-pop,181,106,97
clinique,/clinique/makeup/lepper/leppestift/clinique-dramatically-different-lipstick-44-raspberry-glace,200,93,106
clinique,/clinique/makeup/lepper/leppestift/clinique-dramatically-different-lipstick-23-all-heart,202,88,94
clinique,/clinique/makeup/lepper/leppestift/clinique-dramatically-different-lipstick-17-strawberry-ice,203,107,111
clinique,/clinique/makeup/lepper/leppestift/clinique-pop-longwear-lipstick-satin-35-cola-pop,125,57,62
clinique,/clinique/makeup/lepper/leppestift/clinique-pop-longwear-lipstick-satin-41-petal-pop,200,106,99
clinique,/clinique/makeup/lepper/leppestift/clinique-pop-longwear-lipstick-satin-37-peppermint-pop,188,27,51
clinique,/clinique/makeup/lepper/leppestift/clinique-pop-longwear-lipstick-matte-9-beach-pop,163,93,94
clinique,/clinique/makeup/lepper/leppestift/clinique-pop-longwear-lipstick-matte-13-peony-pop,200,109,122
clinique,/clinique/makeup/lepper/leppestift/clinique-pop-longwear-lipstick-matte-2-icon-pop,144,42,50
dior,dior,/dior/makeup/lepper/leppestifter/dior-dior-addict-shine-lipstick-90-natural-origin-refillable-373-rose-celestial,231,113,134
dior,dior,/dior/makeup/lepper/leppestifter/dior-dior-addict-shine-lipstick-90-natural-origin-refillable-521-diorelita,189,108,110
dior,dior,/dior/makeup/lepper/leppestifter/dior-dior-addict-shine-lipstick-90-natural-origin-refillable-628-pink-bow,165,88,94
