productType,company,brand,color,r,g,b
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-amber-in-furs,/byredo/makeup/lepper/leppestift/byredo-lipstick-amber-in-furs,154,104,105
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-amber-in-furs,/byredo/makeup/lepper/leppestift/byredo-lipstick-earth-dust,155,111,101
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-amber-in-furs,/byredo/makeup/lepper/leppestift/byredo-lipstick-dancehall-queen,122,56,83
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-amber-in-furs,/byredo/makeup/lepper/leppestift/byredo-lipstick-damson-jam,144,93,102
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-amber-in-furs,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-vinyl-fantome,179,72,52
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-vinyl-fantome,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-vinyl-reasonable-doubt,179,72,52
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-vinyl-fantome,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-vinyl-baiser-cosmique,164,55,52
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-vinyl-fantome,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-vinyl-thar-desert,192,70,46
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-matte-red-coma,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-matte-red-coma,126,0,18
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-matte-red-coma,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-matte-thar-desert,165,82,63
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-matte-red-coma,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-matte-fire-grace,126,0,18
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-matte-red-coma,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-matte-martian-dust,155,38,19
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-103-on-the-edge,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-103-on-the-edge,165,90,84
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-103-on-the-edge,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-129-septembre,149,74,66
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-103-on-the-edge,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-205-ensouled,190,80,71
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-103-on-the-edge,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-213-stromboli,165,90,84
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-103-on-the-edge,/byredo/makeup/lepper/leppestift/byredo-lipstick-satin-128-commuter,112,68,59
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-satin-104-9am,/byredo/makeup/lepper/leppestift/byredo-lipstick-satin-104-9am,112,68,59
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-satin-104-9am,/byredo/makeup/lepper/leppestift/byredo-lipstick-satin-355-deca-dance,112,68,59
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-satin-104-9am,/byredo/makeup/lepper/leppestift/byredo-lipstick-satin-209-divorce,112,68,59
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-satin-104-9am,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-refill-320-attached,247,247,247
Lipstick,byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-refill-320-attached,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-refill-103-on-the-edge,247,247,247
